director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
F. Gary Gray,167,161029270,Biography|Crime|Drama|History|Music,Straight Outta Compton,2015,English,USA,28000000,7.9,"Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor",76000
Richard Linklater,165,25359200,Drama,Boyhood,2014,English,USA,4000000,8,"Ellar Coltrane,Lorelei Linklater,Libby Villari",92000
Quentin Tarantino,580,162804648,Drama|Western,Django Unchained,2012,English,USA,100000000,8.5,"Leonardo DiCaprio,Christoph Waltz,Ato Essandoh",199000
Michael Bay,165,245428137,Action|Adventure|Sci-Fi,Transformers: Age of Extinction,2014,English,USA,210000000,5.7,"Bingbing Li,Sophia Myles,Kelsey Grammer",56000
Christopher Nolan,164,448130642,Action|Thriller,The Dark Knight Rises,2012,English,USA,250000000,8.5,"Tom Hardy,Christian Bale,Joseph Gordon-Levitt",164000
Peter Jackson,164,255108370,Adventure|Fantasy,The Hobbit: The Battle of the Five Armies,2014,English,New Zealand,250000000,7.5,"Aidan Turner,Adam Brown,James Nesbitt",65000
Tom Hooper,158,148775460,Drama|Musical|Romance,Les Misérables,2012,English,USA,61000000,7.6,"Hugh Jackman,Eddie Redmayne,Anne Hathaway",144000
Tom Hooper,158,148775460,Drama|Musical|Romance,Les Misérables,2012,English,USA,61000000,7.6,"Hugh Jackman,Eddie Redmayne,Anne Hathaway",144000
Kathryn Bigelow,157,95720716,Drama|History|Thriller,Zero Dark Thirty,2012,English,USA,40000000,7.4,"Jennifer Ehle,Harold Perrineau,Parker Sawyers",39000
Ridley Scott,156,105219735,Action|Adventure|Drama|History,Robin Hood,2010,English,USA,200000000,6.7,"Mark Addy,William Hurt,Scott Grimes",17000
Michael Bay,154,352358779,Action|Adventure|Sci-Fi,Transformers: Dark of the Moon,2011,English,USA,195000000,6.3,"Glenn Morshower,Lester Speight,Kevin Dunn",46000
Denis Villeneuve,153,60962878,Crime|Drama|Mystery|Thriller,Prisoners,2013,English,USA,46000000,8.1,"Hugh Jackman,Jake Gyllenhaal,Dylan Minnette",86000
Gnana Rajasekaran,153,,Biography|Drama|History,Ramanujan,2014,English,India,,7,"Mani Bharathi,Michael Lieber,Kevin McGowan",58
Marc Webb,153,262030663,Action|Adventure|Fantasy,The Amazing Spider-Man,2012,English,USA,230000000,7,"Emma Stone,Andrew Garfield,Chris Zylka",56000
Nan,151,228430993,Adventure|Drama|Sci-Fi,The Martian,2015,English,USA,108000000,8.1,"Matt Damon,Donald Glover,Benedict Wong",153000
Ridley Scott,150,65007045,Action|Adventure|Drama,Exodus: Gods and Kings,2014,English,UK,140000000,6.1,"Christian Bale,María Valverde,Ben Mendelsohn",51000
Ridley Scott,150,65007045,Action|Adventure|Drama,Exodus: Gods and Kings,2014,English,UK,140000000,6.1,"Christian Bale,María Valverde,Ben Mendelsohn",51000
Mike Leigh,150,3958500,Biography|Drama|History,Mr. Turner,2014,English,UK,N/A,6.8,"Lesley Manville,Ruth Sheen,Karl Johnson",0
Gore Verbinski,650,89289910,Action|Adventure|Western,The Lone Ranger,2013,English,USA,215000000,6.5,"Johnny Depp,Ruth Wilson,Tom Wilkinson",48000
